transcript,is_fraudulent
Your computer has a virus. Install AnyDesk to fix it.,1
Your subscription has been renewed successfully.,0
Your account has been locked. Click here to unlock it.,1
Your payment has been received. Thank you!,0
Your credit card has been compromised. Call us immediately.,1
Your flight has been booked. Check your email for details.,0
Your social security number has been suspended. Contact us to resolve the issue.,1
Your order has been shipped and will arrive soon.,0
Your PayPal account has been limited. Click here to restore access.,1
Reminder: Your appointment is scheduled for tomorrow.,0
You have an outstanding tax bill. Pay now to avoid penalties.,1
This is your doctor calling about your appointment.,0
Your bank account has been flagged for suspicious activity. Verify your information.,1
Your package delivery is delayed. Please update your address.,0
You have a refund pending. Click here to claim it.,1
Please confirm your OTP to secure your bank account.,1
Your email account will be deactivated. Confirm your password to keep it active.,1
Your loan application has been approved. Provide your bank details to proceed.,1
We have detected unusual activity on your account. Verify your identity now.,1
Congratulations! You've won a prize. Click the link to claim it.,1
